video_name|index|start_frame|end_frame|start_sec|end_sec|target
1583882_1a1|22|6146|6581|122.92|131.62|Die Telekom hat mich drei Monate warten lassen, weil nach der Wende zu viele Leute auf einmal eins haben wollten.
1583882_1a1|23|6581|6695|131.62|133.9|Ich habe also gewartet, bis ich den Anschluss von der Post bekommen habe.
1583882_1a1|24|6695|6805|133.9|136.1|Danach habe ich ganz fleißig gefaxt.
1583882_1a1|25|6913|7075|138.26|141.5|Jetzt schicke ich nur noch E-Mails per Internet.
1583882_1a1|26|7075|7161|141.5|143.22|Das ist bequemer als das Fax.
1583882_1a1|27|8601|8762|172.02|175.24|Später konnte man alles mailen, das ist praktisch.
1583882_1a1|28|8762|8972|175.24|179.44|Handys gab es auch erst später.
1583882_1a1|29|8972|9147|179.44|182.94|SMS schreiben konnte man mit den Handys damals aber noch nicht.
1583882_1a1|30|10750|10949|215.0|218.98|Musstest du keinen Eigenanteil zahlen?
1583882_1a1|31|10981|11277|219.62|225.54|Ach so, aber ich dachte es gäbe eine Eigenbeteiligung.
1583882_1a1|32|13177|13301|263.54|266.02|1999, neunundneunzig.
1583882_1a1|33|17136|17475|342.72|349.5|Aber ganz ehrlich gesagt, war ich in der DDR unbekümmerter.
1583882_1a1|34|17475|17744|349.5|354.88|Ich habe mir keine Gedanken darüber gemacht, dass es im Westen Luxus gibt.
1583882_1a1|35|17744|17817|354.88|356.34|Das hat mich nicht gekümmert.
1583882_1a1|36|17817|18054|356.34|361.08|Aber mein Leben in der DDR war nicht schlecht.
1583882_1a1|37|18054|18128|361.08|362.56|Das war wirklich gut.
1583882_1a1|38|18128|18210|362.56|364.2|Ich hatte keine Probleme.
1583882_1a1|39|18210|18364|364.2|367.28|Aber das lag auch daran, dass ich drei Kinder hatte und eine gute Unterstützung vom Staat bekommen habe.
1583882_1a1|40|18481|18526|369.62|370.52|Das war mein Vorteil.
1583882_1a1|41|18526|18574|370.52|371.48|Das war schön.
1583882_1a1|42|18574|18775|371.48|375.5|Aber eigentlich kann man über die DDR nichts Schlechtes sagen, das sagen alle.
1583882_1a1|43|18775|18862|375.5|377.24|Für mich war es schön, aber/
1583882_1a1|44|19004|19292|380.08|385.84|Na ja, ich mag Handys nicht so besonders.
1583882_1a1|45|20143|20410|402.86|408.2|Ich muss drauf achten, dass ich es für einen Notfall dabei habe, da hast du recht.
1583882_1a1|46|20410|20745|408.2|414.9|Aber ich bin nicht so der Handy- oder SMS-Freund.
1583882_1a1|47|20902|20992|418.04|419.84|Ich chatte, aber/
1583882_1a1|48|21033|21367|420.66|427.34|Ich chatte aber niemals öffentlich.
1583882_1a1|49|21367|21434|427.34|428.68|Nur versteckt.
1583882_1a1|50|21434|21711|428.68|434.22|Manchmal gucke ich in der Liste, wer angemeldet ist.
1583882_1a1|51|21711|21955|434.22|439.1|Mir ist das wichtig, denn bei ooVoo oder beim Chatten ist das ja verrückt.
1583882_1a1|52|22206|22268|444.12|445.36|Da habe ich keine Lust zu.
1583882_1a1|53|22268|22432|445.36|448.64|Sondern ich nehme dann nur eine Person in den Fokus.
1583882_1a1|54|22432|22791|448.64|455.82|Und ich schreibe eine Mitteilung in die Leiste: „Bitte nicht chatten.“
1583882_1a1|55|22791|23046|455.82|460.92|Auch wenn ich mal in den Urlaub fahre oder beschäftigt bin, schreibe ich das in die Leiste.
1583882_1a1|56|23046|23430|460.92|468.6|Wenn ich aber chatte und das in der Leiste stehen habe, dass mich keiner anfragen soll, wird das von vielen oft falsch verstanden.
1583882_1a1|57|23430|23513|468.6|470.26|Da geht dann sofort ein Fenster auf.
1583882_1a1|58|23513|23597|470.26|471.94|Ich breche die Konversation einfach ab.
1583882_1a1|59|23597|23810|471.94|476.2|Mir ist es wichtig, dass ich mich mit meinem Sohn zu Ende unterhalte.
1583882_1a1|60|23973|24102|479.46|482.04|Ich sage dann: „Schau mal oben in die Leiste.“
1583882_1a1|61|24102|24212|482.04|484.24|Erst wenn der Text da weg ist, bin ich erreichbar.
1583882_1a1|62|24212|24311|484.24|486.22|Das müssen alle akzeptieren.
1583882_1a1|63|24311|24715|486.22|494.3|Ich kann mich nicht mit so vielen gleichzeitig unterhalten.
1583882_1a1|64|24804|24884|496.08|497.68|Ich benutze Camfrog.
1583882_1a1|65|25120|25273|502.4|505.46|Ja, Skype.
1583882_1a1|66|26085|26149|521.7|522.98|Echt, so weit?
1583882_1a1|67|26149|26280|522.98|525.6|Ich mache „ooVoo“ so.
1583882_1a1|68|26279|26430|525.58|528.6|Und MSN.
1583882_1a1|69|26429|26692|528.58|533.84|Aber bei mir ist das immer so/ Es gibt auch noch Facebook.
1583882_1a1|70|26691|27078|533.82|541.56|Bei Facebook kann man auch chatten.
1583882_1a1|71|27077|27269|541.54|545.38|Wenn man eine Webcam hat, kann man sich unterhalten.
1583882_1a1|72|27269|27431|545.38|548.62|Das ist gut bei Facebook, dass man alles hat.
1583882_1a1|73|27431|27524|548.62|550.48|Ich benutze meistens Facebook.
1583882_1a1|74|27858|28146|557.16|562.92|Für mich ist das gut, dann komme ich nicht ins Grübeln, sondern kann mich damit ablenken.
1583882_1a1|75|28554|28623|571.08|572.46|Ach so, du hast 16.
1583882_1a1|76|28623|28701|572.46|574.02|Ich nicht, ich habe durchschnittlich/
1583882_1a1|77|28701|28805|574.02|576.1|Ich habe sechs/ Ach, Mensch/
1583882_1a1|78|28804|28918|576.08|578.36|Es ist auf jeden Fall schnell. Mehr/
1583882_1a1|79|28918|29136|578.36|582.72|Aber wie viel weiß ich nicht, da müsste ich nachschauen, ich glaube/
1583882_1a1|80|29748|29836|594.96|596.72|Ich habe eine gute Verbindung.
1583882_1a1|81|29836|29886|596.72|597.72|Meine ist stark.
1583882_1a1|82|29885|30018|597.7|600.36|Deine nicht, aber meine ist stark.
1583882_1a1|83|30018|30382|600.36|607.64|Früher war ich bei der Telekom mit dem Internet.
1583882_1a1|84|30382|30446|607.64|608.92|Das war ganz schlecht.
1583882_1a1|85|30445|30598|608.9|611.96|Von der Telekom, das war für den Müll.
1583882_1a1|86|30597|30886|611.94|617.72|Dann war ich bei Vodafone.
1583882_1a1|87|30885|31080|617.7|621.6|Das war auch Müll.
1583882_1a1|88|31552|31955|631.04|639.1|Da bin ich bis jetzt, mit Fernsehen, Fax, Internet, mit allem.
1583882_1a1|89|31955|32025|639.1|640.5|Mit denen bin ich zufrieden.
1583882_1a1|90|32025|32134|640.5|642.68|Da werde ich weiterhin bleiben.
1583882_1a1|91|32133|32237|642.66|644.74|Was anderes will ich nicht mehr.
1583882_1a1|92|32813|33148|656.26|662.96|Bei dir ist das gut, aber wenn ich das Bildtelefon/
1583882_1a1|93|33148|33500|662.96|670.0|Wenn man ein Bildtelefon benutzt, muss man auch überlegen, wo der Anschluss dafür ist.
1583882_1a1|94|33503|33686|670.06|673.72|Ich sitze meist im Kinderzimmer.
1583882_1a1|95|33686|33878|673.72|677.56|Aber der Anschluss für das Bildtelefon ist in der Stube.
1583882_1a1|96|34187|34225|683.74|684.5|Da habe ich alles was ich brauche.
1583882_1a1|97|34483|34552|689.66|691.04|Aber meins/
1583882_1a1|98|34552|34648|691.04|692.96|Ja, das ist echt gut!
1583882_1a1|99|34648|34790|692.96|695.8|Wenn ich ein neues bekomme, meins läuft im November ab/
1583882_1a1|100|34790|34952|695.8|699.04|Dann mache ich einen neuen Vertrag und kündige den alten.
1583882_1a1|101|34952|35063|699.04|701.26|Ja, mal abwarten.
1583882_1a1|102|35538|35747|710.76|714.94|Besser ist WhatsApp.
1583882_1a1|103|35935|36001|718.7|720.02|WhatsApp ist gut.
1583882_1a1|104|37415|37536|748.3|750.72|Es ist gratis und man kann unendlich viel schreiben.
1583882_1a1|105|37536|37715|750.72|754.3|Damit kann man sich schnell verabreden und abmachen wo man sich treffen will, oder so.
1583882_1a1|106|38077|38318|761.54|766.36|Ja, WhatsApp, das ist wirklich super.
1583882_1a1|107|38318|38366|766.36|767.32|Denn es ist kostenlos.
1583882_1a1|108|38366|38411|767.32|768.22|Ist auch noch relativ neu.
1583882_1a1|109|38411|38678|768.22|773.56|Ich habe das für meinen Mann besorgt.
1583882_1a1|110|39043|39311|780.86|786.22|Auch für mich als Gehörlose, zum Beispiel bei SMS, was es kostenfrei gibt.
1583882_1a1|111|39505|39640|790.1|792.8|Ich habe das für meinen Mann besorgt.
1583882_1a1|112|39640|39759|792.8|795.18|Meine Tochter wollte das dann auch haben.
1583882_1a1|113|39759|39916|795.18|798.32|Ich habe sie auch zu ihm geschickt.
1583882_1a1|114|39916|39992|798.32|799.84|Und mein Sohn ist auch sehr zufrieden.
1583882_1a1|115|39992|40137|799.84|802.74|Wir sind bis jetzt zufrieden mit WhatsApp.
1583882_1a1|116|41124|41351|822.48|827.02|WhatsApp ist gut um sich Nachrichten zu schicken.
1583882_1a1|117|41351|41486|827.02|829.72|Aber wenn man ins Ausland fährt, war es das.
1583882_1a1|118|41486|41649|829.72|832.98|Dann ist es zu teuer.
1583882_1a1|119|41703|41864|834.06|837.28|Das ist zu teuer.
1583882_1b1|120|0|162|0.0|3.24|Wie hast du früher kommuniziert?
1583882_1b1|121|162|327|3.24|6.54|Ich habe zu DDR-Zeiten nicht telefoniert.
1583882_1b1|122|327|485|6.54|9.7|Das habe ich früher nicht gemacht, telefoniert.
1583882_1b1|123|1316|1552|26.32|31.04|So ein Brief/
1583882_1b1|124|1868|1982|37.36|39.64|Stimmt, man musste versuchen, sich kurz zu fassen.
1583882_1b1|125|1982|2097|39.64|41.94|Und man musste diese schnöden Briefe falten.
1583882_1b1|126|2097|2196|41.94|43.92|Länglich/ Ich weiß noch, dass das so längliche Umschläge waren.
1583882_1b1|127|2196|2350|43.92|47.0|Den Brief musste man einmal falten und dann noch die Seite einklappen und ihn in den Umschlag legen.
1583882_1b1|128|2350|2520|47.0|50.4|Das Umschlagfenster hatte ganz komisches Papier, so milchig.
1583882_1b1|129|2665|2776|53.3|55.52|Grau, stimmt!
1583882_1b1|130|2776|2931|55.52|58.62|Die Briefe sahen total gammelig aus.
1583882_1b1|131|2931|3154|58.62|63.08|Dann gab es auch Telegramme, das hast du eben schon gesagt.
1583882_1b1|132|3154|3430|63.08|68.6|Nach dem Mauerfall wurde es mit der Kommunikation besser.
1583882_1b1|133|7278|7398|145.56|147.96|Man verbraucht auch weniger Papier.
1583882_1b1|134|7556|7683|151.12|153.66|Mit Erfolg, sie haben die Kosten in vollem Umfang übernommen.
1583882_1b1|135|7683|7772|153.66|155.44|Ich habe das teuerste Fax ausgesucht.
1583882_1b1|136|7772|7937|155.44|158.74|Das hat damals 1200 Mark gekostet, Deutsche Mark waren das damals.
1583882_1b1|137|7937|8050|158.74|161.0|Mit Anrufbeantworter für meinen Mann.
1583882_1b1|138|8050|8142|161.0|162.84|Das war ein riesiger Kasten.
1583882_1b1|139|8142|8289|162.84|165.78|Heute sind die angenehm klein.
1583882_1b1|140|8289|8476|165.78|169.52|Ich hatte auch ein Fax mit Farbrolle.
1583882_1b1|141|8476|8725|169.52|174.5|Später habe ich dann auch einen Computer bekommen, einen neuen Computer.
1583882_1b1|142|8976|9052|179.52|181.04|Weißt du, beim Handy konnte man später/
1583882_1b1|143|9052|9147|181.04|182.94|Da gibt es auch den Videoanruf, sodass man gebärden kann.
1583882_1b1|144|9147|9263|182.94|185.26|Man gebärdet einfach in die Handykamera.
1583882_1b1|145|9263|9422|185.26|188.44|„Geht’s dir gut? Ich komme gleich, bitte vergiss das nicht, es ist wichtig“, und fertig.
1583882_1b1|146|9422|9528|188.44|190.56|Das Videohandy verwende ich heute noch.
1583882_1b1|147|9528|9746|190.56|194.92|Mit meinem Handy kann ich auch E-Mails verschicken.
1583882_1b1|148|9746|9878|194.92|197.56|Ich habe keine Lust das mit dem Computer zu machen, weil man den erst anschalten muss.
1583882_1b1|149|9878|10093|197.56|201.86|Am Arbeitsplatz habe ich auch technische Hilfen.
1583882_1b1|150|10360|10602|207.2|212.04|Wir sind nur drei Gehörlose, also nicht viele, aber trotzdem hat das Integrationsamt das bewilligt und bezahlt.
1583882_1b1|151|10602|10705|212.04|214.1|Nach einer Weile/
1583882_1b1|152|10705|10878|214.1|217.56|Das hat das Integrationsamt bezahlt, ich weiß nicht wie viel.
1583882_1b1|153|10932|10982|218.64|219.64|Ich arbeite in einer Firma.
1583882_1b1|154|10982|11180|219.64|223.6|Die Firma hat das für mich gemacht und das Integrationsamt hat bezahlt.
1583882_1b1|155|11563|11855|231.26|237.1|Später, ich weiß nicht genau, wann das war, hat die Telekom das Bildtelefon angeboten.
1583882_1b1|156|11855|11973|237.1|239.46|Da wurde ich neugierig.
1583882_1b1|157|11973|12088|239.46|241.76|Ich bin deshalb meinem Mann zusammen zur Telekom gegangen.
1583882_1b1|158|12088|12335|241.76|246.7|Wir haben erfahren, dass man dafür extra einen speziellen Anschluss, einen ISDN-Anschluss, braucht.
1583882_1b1|159|12335|12648|246.7|252.96|Aber alleine konnte man das nicht benutzen, es mussten auch andere ein Bildtelefon haben.
1583882_1b1|160|12648|12756|252.96|255.12|Ich verwende es bis heute noch.
1583882_1b1|161|12756|12898|255.12|257.96|Ich habe mein Bildtelefon 1999 gekauft.
1583882_1b1|162|12897|13012|257.94|260.24|Das sind bis heute über/
1583882_1b1|163|13363|13500|267.26|270.0|Also über zehn Jahre, zwölf Jahre, 13 Jahre.
1583882_1b1|164|13500|13626|270.0|272.52|Stimmt, 13 Jahre.
1583882_1b1|165|13626|13713|272.52|274.26|Und ich benutze das Bildtelefon bis heute.
1583882_1b1|166|13713|13889|274.26|277.78|Manchmal rufe ich meine Mama oder Freunde mit dem Bildtelefon an.
1583882_1b1|167|13888|14037|277.76|280.74|Und mit dem Computer verschicke ich Mails.
1583882_1b1|168|14037|14267|280.74|285.34|Am Arbeitsplatz habe ich dann erfahren, dass es auch Arbeitsassistenz gibt.
1583882_1b1|169|14266|14379|285.32|287.58|Ich habe für meinen Arbeitsplatz ein Bildtelefon bekommen.
1583882_1b1|170|14379|14600|287.58|292.0|Mit dem Bildtelefon kann ich über das Saxonia Deaf Call Center in Zwickau telefonieren.
1583882_1b1|171|14902|14962|298.04|299.24|Es war immer nur noch besetzt.
1583882_1b1|172|14962|15119|299.24|302.38|Das hat leider schon um zwölf Uhr zugemacht.
1583882_1b1|173|15119|15312|302.38|306.24|Und ein paar Minuten vorher war immer besetzt.
1583882_1b1|174|15312|15403|306.24|308.06|Das war nicht mehr erreichbar.
1583882_1b1|175|15402|15620|308.04|312.4|Daraufhin habe ich meinen Arbeitsplatz umgestellt und ein Laptop mit Webcam bekommen, und nutze TeSS.
1583882_1b1|176|15619|15709|312.38|314.18|Das mache ich privat zu Hause auch.
1583882_1b1|177|15709|15781|314.18|315.62|Damit bin ich bis jetzt zufrieden.
1583882_1b1|178|15781|15957|315.62|319.14|Ich kann über den Dienst mit Hörenden telefonieren und die können mich anrufen.
1583882_1b1|179|16124|16501|322.48|330.02|Mein Mann muss zu Hause auch nur noch ganz selten für mich anrufen, da ich über TeSS selbst anrufen kann.
1583882_1b1|180|16501|16805|330.02|336.1|Meinen Mann frage ich nur noch im absoluten Notfall, ob er für mich telefonieren kann, sonst nicht.
1583882_1b1|181|16906|17117|338.12|342.34|Ohne Computer, wenn es wieder wie damals wäre, das könnte ich mir nicht mehr vorstellen.
1583882_1b1|182|17117|17185|342.34|343.7|Dann hätte ich Schwierigkeiten.
1583882_1b1|183|18774|18947|375.48|378.94|Aber dein Handy könntest du heute auch nicht einfach so weglegen, oder?
1583882_1b1|184|18947|19035|378.94|380.7|Man guckt doch immer wieder drauf.
1583882_1b1|185|19035|19148|380.7|382.96|Das war früher anders.
1583882_1b1|186|20993|21089|419.86|421.78|Ich will lieber abschalten.
1583882_1b1|187|24682|25083|493.64|501.66|Es gibt Camfrog, Skype und was noch?
1583882_1b1|188|25083|25220|501.66|504.4|Skype, ja.
1583882_1b1|189|25220|25265|504.4|505.3|Ach du gebärdest das so? Okay.
1583882_1b1|190|25265|25400|505.3|508.0|Also, „Skype“ gebärde ich so.
1583882_1b1|191|25400|25576|508.0|511.52|Also, „ooVoo“, das wird wohl so gebärdet.
1583882_1b1|192|25576|25795|511.52|515.9|So? Die meisten sagen „ooVoo“.
1583882_1b1|193|26172|26320|523.44|526.4|Okay, ooVoo also.
1583882_1b1|194|26326|26399|526.52|527.98|Stimmt, MSN zum chatten.
1583882_1b1|195|26639|26730|532.78|534.6|Facebook, stimmt.
1583882_1b1|196|26730|26874|534.6|537.48|Ich mache „Facebook“ so.
1583882_1b1|197|27785|27962|555.7|559.24|Stimmt, da hat man alles am PC.
1583882_1b1|198|28074|28408|561.48|568.16|Was für ein DSL hast du denn?
1583882_1b1|199|28800|29053|576.0|581.06|Ist ja auch egal.
1583882_1b1|200|29052|29159|581.04|583.18|Ich habe zu Hause nur das 2000er DSL.
1583882_1b1|201|29158|29214|583.16|584.28|Das ist nichts.
1583882_1b1|202|29214|29525|584.28|590.5|Bei ooVoo zum Beispiel werden die Gebärdendialoge stockend übertragen, wenn die Empfangsqualität nachlässt.
1583882_1b1|203|29591|29640|591.82|592.8|Ich habe keine Lust mehr, das zu benutzen.
1583882_1b1|204|29639|29800|592.78|596.0|Man braucht einfach eine schnelle DSL Verbindung mit einer hohen Geschwindigkeit.
1583882_1b1|205|29800|29843|596.0|596.86|Meine Verbindung ist zu schwach.
1583882_1b1|206|30833|30928|616.66|618.56|Vodafone, D2 Vodafone meinst du.
1583882_1b1|207|32226|32474|644.52|649.48|Ich selber benutze ja mehr mein Bildtelefon.
1583882_1b1|208|32474|32664|649.48|653.28|Chatten kostet immer so viel Zeit, bis man erst mal den Rechner angemacht hat und so.
1583882_1b1|209|32664|32779|653.28|655.58|Ich benutze mein Handy und Emails, das reicht mir.
1583882_1b1|210|32779|32859|655.58|657.18|Das ist der leichte Weg.
1583882_1b1|211|34377|34618|687.54|692.36|Mit dem Handy kann man auch chatten.
1583882_1b1|212|35015|35230|700.3|704.6|Ja, aber trotzdem, früher gab es nur ein paar Handys zur Auswahl.
1583882_1b1|213|35230|35269|704.6|705.38|Aber heute gibt es so viele unterschiedliche.
1583882_1b1|214|35269|35391|705.38|707.82|Da weiß man gar nicht, welches das Beste ist und was man nehmen soll.
1583882_1b1|215|35391|35538|707.82|710.76|Ob man ein iPhone nimmt, oder ein iPad, oder was auch immer.
1583882_1b1|216|36620|36734|732.4|734.68|Es gibt doch auch das mit dem grünen Kreis mit dem Pfeil dran, diese Sprechblase?
1583882_1b1|217|36861|37016|737.22|740.32|Doch, damit bin ich auch sehr zufrieden, stimmt.
1583882_1b1|218|37117|37326|742.34|746.52|Das stimmt, mein Mann und ich benutzen das immer, wenn wir uns schnell was mitteilen wollen, stimmt, das ist gut.
1583882_1b1|219|37392|37466|747.84|749.32|Man kann es rund um die Uhr benutzen, du hast recht.
1583882_1b1|220|37666|37926|753.32|758.52|Genau, so wie Hörende das schnell mal am Telefon machen, was wir ja nicht können, können wir damit schnell chatten, stimmt.
1583882_1b1|221|40075|40303|801.5|806.06|Stimmt, das mit der grünen Sprechblase ist ja WhatsApp.
1583882_1b1|222|40417|40530|808.34|810.6|Mein Mann hat keinen Vertrag.
1583882_1b1|223|40530|40596|810.6|811.92|Aber er hat auch WhatsApp und ist zufrieden.
1583882_1b1|224|41377|41612|827.54|832.24|Im Ausland sollte man das Handy lieber ausmachen.
1583882_1b1|225|41612|41831|832.24|836.62|Da sollte man besser nur SMS oder MMS schicken.
1428805_1a1|226|96|223|1.92|4.46|Auf dem Monitor steht Körperpflege.
1428805_1a1|227|684|751|13.68|15.02|Auf dem Monitor kommt also nichts mehr, okay.
1428805_1a1|228|751|960|15.02|19.2|Na ja, Körperpflege, Gesundheit und all das.
1428805_1a1|229|1425|1657|28.5|33.14|Ich denke, Sport und Gesundheit hängen zusammen.
1428805_1a1|230|1657|1756|33.14|35.12|Ich rauche auch.
1428805_1a1|231|2582|2694|51.64|53.88|Ich pflege mich ja auch.
1428805_1a1|232|3422|3624|68.44|72.48|Ich esse selten Pommes.
1428805_1a1|233|3624|3717|72.48|74.34|Einmal im Monat, mehr nicht.
1428805_1a1|234|3859|4107|77.18|82.14|Da auf dem Monitor stand „Körperpflege“, „Gesundheit“ und noch einiges mehr.
1428805_1a1|235|4107|4170|82.14|83.4|Ich habe vergessen, was das war.
1428805_1a1|236|4252|4363|85.04|87.26|Das hat alles miteinander zu tun.
1428805_1a1|237|4363|4615|87.26|92.3|Körperpflege, Gesundheit, Körperpflege eben.
1428805_1a1|238|4615|4648|92.3|92.96|Was soll ich sagen?
1428805_1a1|239|5047|5196|100.94|103.92|Den Körper pflegen.
1428805_1a1|240|5896|6161|117.92|123.22|Menschen zu treffen macht fröhlich, ja.
1428805_1a1|241|6302|6410|126.04|128.2|Auch mit Krankheiten.
1428805_1a1|242|6409|6699|128.18|133.98|Wenn man zum Arzt geht und der Arzt dann sagt, dass man Krebs hat.
1428805_1a1|243|7547|7691|150.94|153.82|Früher war es wirklich schlimm.
1428805_1a1|244|7691|7842|153.82|156.84|Heute kann ein Dolmetscher mitgehen und so kann man sich die Info holen.
1428805_1a1|245|7842|8036|156.84|160.72|So erfährt man zum Beispiel, was man alles nicht essen darf und so weiter.
1428805_1a1|246|8036|8066|160.72|161.32|Und so findet man sich dann zurecht.
1428805_1a1|247|8066|8180|161.32|163.6|Früher war Kommunikation viel schwieriger, wie sollte das klappen?
1428805_1a1|248|8179|8333|163.58|166.66|Während man irgendwie versuchte, sich zurechtzufinden, starb man schon und das war’s.
1428805_1a1|249|8575|8798|171.5|175.96|Man muss einfach in die Schweiz.
1428805_1a1|250|10382|10745|207.64|214.9|Zum Beispiel, hm, Essen, da gibt es so vieles, das kennt man ja.
1428805_1a1|251|10745|10852|214.9|217.04|Einiges ist Bio.
1428805_1a1|252|10852|11117|217.04|222.34|Es gibt Bio-Produkte und normale Produkte.
1428805_1a1|253|11117|11297|222.34|225.94|Aber beide Produktarten zu essen ist gesund.
1428805_1a1|254|11297|11394|225.94|227.88|Für welches soll man sich da entscheiden?
1428805_1a1|255|13753|13931|275.06|278.62|Aber beim Bauernhof ist ja Natur, das stimmt.
1428805_1a1|256|13930|14012|278.6|280.24|Die Tomaten so zu sehen, war schon interessant.
1428805_1a1|257|14011|14195|280.22|283.9|Sie hatten einen kräftigen Geschmack.
1428805_1a1|258|14194|14262|283.88|285.24|Ich habe sie ganz interessiert angeguckt.
1428805_1a1|259|14261|14504|285.22|290.08|Hier in Deutschland sind die Tomaten ganz rund und straff.
1428805_1a1|260|15349|15400|306.98|308.0|Wo ist Holz?
1428805_1a1|261|15472|15588|309.44|311.76|Ich war erst einmal im Krankenhaus wegen einer Operation.
1428805_1a1|262|15588|15709|311.76|314.18|Toi, toi, toi.
1428805_1a1|263|15733|15953|314.66|319.06|Nur ein Leistenbruch als ich zwei Jahre alt war.
1428805_1a1|264|15953|16039|319.06|320.78|Ich war noch klein, ich erinnere mich nicht mehr.
1428805_1a1|265|16038|16203|320.76|324.06|Seitdem war ich nicht mehr im Krankenhaus.
1428805_1a1|266|20022|20087|400.44|401.74|Ach so, sie war so rund und dick.
1428805_1a1|267|20880|20979|417.6|419.58|Du warst/
1428805_1a1|268|22467|22591|449.34|451.82|Hat das Sprechen gut geklappt?
1428805_1a1|269|22925|23133|458.5|462.66|Du warst ja wegen dem Achillessehnenriss im Krankenhaus.
1428805_1a1|270|23877|24260|477.54|485.2|Ich habe es mal erlebt, dass ich zu Hause nach dem Schlafen morgens früh aufgestanden bin und mir dann schwindelig war.
1428805_1a1|271|24733|24922|494.66|498.44|Mir war schwindelig und schlecht, ich musste mich dauernd übergeben.
1428805_1a1|272|24922|25011|498.44|500.22|Ich war unfähig überhaupt irgendetwas zu machen.
1428805_1a1|273|25460|25609|509.2|512.18|Der Arzt hat mich angesehen, als ob ich besoffen wäre.
1428805_1a1|274|25608|25720|512.16|514.4|Oder als ob ich Stimmprobleme hätte, ich war ganz durcheinander.
1428805_1a1|275|25720|25851|514.4|517.02|Er hat mich untersucht und festgestellt, dass ich Schwindel habe.
1428805_1a1|276|25851|25899|517.02|517.98|Dann habe ich eine Infusion bekommen.
1428805_1a1|277|25899|26007|517.98|520.14|Aber es hat überhaupt keine Kommunikation zwischen uns stattgefunden.
1428805_1a1|278|26007|26199|520.14|523.98|Ich konnte nicht verstehen, was er sagt, da habe ich ihn dazu aufgefordert, es aufzuschreiben.
1428805_1a1|279|26199|26328|523.98|526.56|Aber er hat das abgelehnt, ich war ratlos.
1428805_1a1|280|26327|26436|526.54|528.72|Er hat mir einfach so die Infusion gelegt, ich habe ihn gefragt, was das ist.
1428805_1a1|281|26656|26820|533.12|536.4|Ich hatte keine Ahnung, was das war.
1428805_1a1|282|26937|27028|538.74|540.56|Nein, mein Problem ist/
1428805_1a1|283|27027|27198|540.54|543.96|Ich weiß, durch die Infusion verschwindet der Schwindel, aber ich wusste nicht, was das ist.
1428805_1a1|284|27241|27580|544.82|551.6|Aber mein Problem war, dass mir so schwindelig war und ich normalerweise deswegen nicht hätte kommen können.
1428805_1a1|285|27580|27963|551.6|559.26|Wenn es andersherum wäre und ein Hörender würde wegen Schwindel zum Arzt gehen, dann würde er trotzdem noch hören und verstehen können, was der Arzt sagt.
1428805_1a1|286|28372|28496|567.44|569.92|Ich habe dem Arzt signalisiert, dass ich spucken muss.
1428805_1a1|287|28495|28617|569.9|572.34|Er hat mich von dort weggebracht und ich habe mich übergeben.
1428805_1a1|288|28725|28895|574.5|577.9|Das war ein sehr schlimmes Erlebnis.
1428805_1a1|289|28976|29057|579.52|581.14|Nein, das war beim Arzt.
